rang_ville;domaine_chruth;code_departement;libelle_commune;nb_prospects;nb_societes;nb_chaude;score_moyen;categories_principales
951;PRIVE;75;PARIS 11;74;74;0;43.8;PRIV_SANTE_CENTRE, PRIV_SANTE_CABINET, PRIV_LOISIRS, IMMO_AGENCE, PRIV_BUREAU, PRIV_RESTAURANT, PRIV_COMMERCE
952;PUBLIC;77;FAREMOUTIERS;4;2;0;43.8;PUB_MAIRIE, PUB_ECOLE
953;PUBLIC;77;LONGUEVILLE;4;1;0;43.8;PUB_MAIRIE, PUB_ECOLE
954;PUBLIC;77;SAINT-GERMAIN-LAVAL;4;1;0;43.8;PUB_MAIRIE, PUB_ECOLE
955;PUBLIC;78;BENNECOURT;4;1;0;43.8;PUB_MAIRIE, PUB_ECOLE
956;PUBLIC;78;LA QUEUE-LES-YVELINES;4;2;0;43.8;PUB_MAIRIE, PUB_ECOLE
957;PUBLIC;78;SAULX-MARCHAIS;4;3;0;43.8;PUB_MAIRIE, PUB_ECOLE, PUB_MUSEE
958;PRIVE;94;ORMESSON SUR MARNE;2;2;0;43.5;PRIV_SANTE_CENTRE, PRIV_RESTAURANT
959;PRIVE;93;LE PRE SAINT GERVAIS;5;5;0;43.4;PRIV_SANTE_CENTRE, PRIV_LOISIRS, IMMO_AGENCE, PRIV_BUREAU
960;PUBLIC;91;SAINT-CHERON;6;2;0;43.3;PUB_MAIRIE, PUB_ECOLE, PUB_MUSEE
961;PUBLIC;77;BEAUTHEIL-SAINTS;3;1;0;43.3;PUB_MAIRIE, PUB_ECOLE
962;PUBLIC;77;BELLOT;3;2;0;43.3;PUB_MAIRIE, PUB_ECOLE
963;PUBLIC;77;CHOISY-EN-BRIE;3;2;0;43.3;PUB_MAIRIE, PUB_ECOLE
964;PUBLIC;77;HERICY;3;1;0;43.3;PUB_MAIRIE, PUB_ECOLE
965;PUBLIC;77;LIMOGES-FOURCHES;3;2;0;43.3;PUB_MAIRIE, PUB_ECOLE
966;PUBLIC;77;ROZAY-EN-BRIE;3;1;0;43.3;PUB_MAIRIE, PUB_ECOLE
967;PUBLIC;77;SAINT-JEAN-LES-DEUX-JUMEAUX;3;2;0;43.3;PUB_MAIRIE, PUB_ECOLE
968;PUBLIC;78;BREVAL;3;1;0;43.3;PUB_MAIRIE, PUB_ECOLE
969;PUBLIC;78;MAREIL-SUR-MAULDRE;3;1;0;43.3;PUB_MAIRIE, PUB_ECOLE
970;PUBLIC;78;ORVILLIERS;3;1;0;43.3;PUB_MAIRIE, PUB_ECOLE
971;PUBLIC;78;THOIRY;3;2;0;43.3;PUB_MAIRIE, PUB_ECOLE
972;PUBLIC;91;MAISSE;3;1;0;43.3;PUB_MAIRIE, PUB_ECOLE
973;PRIVE;75;PARIS 06;3;3;0;43.0;PRIV_LOISIRS, PRIV_BUREAU
974;PRIVE;75;PARIS 13;11;11;0;42.9;PRIV_SANTE_CABINET, PRIV_SANTE_CENTRE, PRIV_LOISIRS, IMMO_AGENCE, PRIV_RESTAURANT, PRIV_COMMERCE
975;PRIVE;75;PARIS 20;6;6;0;42.8;PRIV_SANTE_CABINET, PRIV_SANTE_CENTRE, PRIV_LOISIRS, PRIV_BUREAU
976;PRIVE;75;PARIS 12;98;98;0;42.7;PRIV_SANTE_CABINET, PRIV_SANTE_CENTRE, PRIV_LOISIRS, IMMO_AGENCE, PRIV_BUREAU, PRIV_RESTAURANT, PRIV_COMMERCE
977;PUBLIC;77;NANGIS;12;4;0;42.5;PUB_MAIRIE, PUB_ECOLE, PUB_MUSEE
978;PRIVE;75;PARIS 1;4;4;0;42.5;IMMO_AGENCE, PRIV_RESTAURANT
979;PRIVE;95;BONNEUIL-EN-FRANCE;4;4;0;42.5;PRIV_SANTE_CABINET, PRIV_BUREAU, PRIV_RESTAURANT
980;PUBLIC;77;CHAMPEAUX;4;2;0;42.5;PUB_MAIRIE, PUB_ECOLE
981;PUBLIC;77;LONGPERRIER;4;2;0;42.5;PUB_MAIRIE, PUB_ECOLE, PUB_MUSEE
982;PUBLIC;77;MAROLLES-SUR-SEINE;4;2;0;42.5;PUB_MAIRIE, PUB_ECOLE
983;PUBLIC;77;POMMEUSE;4;2;0;42.5;PUB_MAIRIE, PUB_ECOLE, PUB_MUSEE
984;PUBLIC;77;REBAIS;4;2;0;42.5;PUB_MAIRIE, PUB_ECOLE
985;PUBLIC;77;SAINT-PIERRE-LES-NEMOURS;4;1;0;42.5;PUB_MAIRIE, PUB_ECOLE
986;PUBLIC;95;BERNES-SUR-OISE;4;2;0;42.5;PUB_MAIRIE, PUB_ECOLE, PUB_MUSEE
987;PUBLIC;77;BLANDY;2;1;0;42.5;PUB_MAIRIE, PUB_ECOLE
988;PUBLIC;77;BOUTIGNY;2;1;0;42.5;PUB_MAIRIE, PUB_ECOLE
989;PUBLIC;77;CHANGIS-SUR-MARNE;2;1;0;42.5;PUB_MAIRIE, PUB_ECOLE
990;PUBLIC;77;CHENOISE-CUCHARMOY;2;1;0;42.5;PUB_MAIRIE, PUB_ECOLE
991;PUBLIC;77;CREVECŒUR-EN-BRIE;2;1;0;42.5;PUB_MAIRIE, PUB_ECOLE
992;PUBLIC;77;DARVAULT;2;1;0;42.5;PUB_MAIRIE, PUB_ECOLE
993;PUBLIC;77;ETREPILLY;2;1;0;42.5;PUB_MAIRIE, PUB_ECOLE
994;PUBLIC;77;GRANDPUITS-BAILLY-CARROIS;2;1;0;42.5;PUB_MAIRIE, PUB_ECOLE
995;PUBLIC;77;IVERNY;2;1;0;42.5;PUB_MAIRIE, PUB_ECOLE
996;PUBLIC;77;MARY-SUR-MARNE;2;1;0;42.5;PUB_MAIRIE, PUB_ECOLE
997;PUBLIC;77;PAMFOU;2;1;0;42.5;PUB_MAIRIE, PUB_ECOLE
998;PUBLIC;77;SAINT-MESMES;2;1;0;42.5;PUB_MAIRIE, PUB_ECOLE
999;PUBLIC;77;SAMMERON;2;1;0;42.5;PUB_MAIRIE, PUB_ECOLE
1000;PUBLIC;77;SANCY;2;1;0;42.5;PUB_MAIRIE, PUB_ECOLE
1001;PUBLIC;77;SOURDUN;2;1;0;42.5;PUB_MAIRIE, PUB_ECOLE
